artist_id,artist_name
101,The Weeknd
202,Tones And I
303,Roddy Ricch
404,SAINt JHN
505,Dua Lipa
606,DaBaby
707,Harry Styles
808,Powfu
909,Trevor Daniel
1010,Lewis Capaldi
1111,KAROL G
1212,Arizona Zervas
1313,Post Malone
1414,Lil Mosey
1515,Justin Bieber
1616,Drake
1717,Lewis Capaldi
1818,Doja Cat
1919,Maroon 5
2020,Future
2121,Jawsh 685
2222,Harry Styles
2323,Topic
2424,24kGoldn
2525,Billie Eilish
2626,Shawn Mendes
2828,Cardi B
2929,Surfaces
3030,Eminem
3131,Justin Bieber
3333,BTS
3434,BENEE
3535,Surf Mesa
3636,Lady Gaga
3737,Travis Scott
3838,Post Malone
3939,Maluma
4040,Regard
4141,Travis Scott
4242,Black Eyed Peas
4343,THE SCOTTS
4444,Bad Bunny
4646,Juice WRLD
4747,Ariana Grande
4848,JP Saxe
5050,Travis Scott
