song_id,artist_id,song_name,album,energy,duration_ms
R1B01,101,Blinding Lights,After Hours,0.73,200040.0
R1B02,202,Dance Monkey,Dance Monkey,0.593,209755.0
R1B03,303,The Box,Please Excuse Me For Being Antisocial,0.586,196653.0
R1B04,404,Roses - Imanbek Remix,Roses (Imanbek Remix),0.721,176219.0
R1B05,505,Don't Start Now,Future Nostalgia,0.793,183290.0
R1B06,606,ROCKSTAR,BLAME IT ON BABY,0.69,181733.0
R1B07,707,Watermelon Sugar,Fine Line,0.816,174000.0
R1B08,808,death bed ,death bed,0.431,173333.0
R1B09,909,Falling,Nicotine,0.43,159382.0
R1B10,1010,Someone You Loved,Divinely Uninspired To A Hellish Extent,0.405,182161.0
R1B11,1111,Tusa,Tusa,0.715,200960.0
R1B12,1212,ROXANNE,ROXANNE,0.601,163636.0
R1B13,1313,Circles,Hollywood's Bleeding,0.762,215280.0
R1B14,1414,Blueberry Faygo,Certified Hitmaker,0.554,162547.0
R1B15,1515,Intentions ,Changes,0.546,212867.0
R1B16,1616,Toosie Slide,Dark Lane Demo Tapes,0.49,247059.0
R1B17,1717,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),0.575,215107.0
R1B18,1818,Say So,Hot Pink,0.673,237893.0
R1B19,1919,Memories,Memories,0.32,189486.0
R1B20,2020,Life Is Good ,High Off Life,0.574,237918.0
R1B21,2121,Savage Love ,Savage Love,0.481,171375.0
R1B22,2222,Adore You,Fine Line,0.771,207133.0
R1B23,2323,Breaking Me,Breaking Me,0.72,166794.0
R1B24,2424,Mood ,Mood ,0.722,140526.0
R1B25,2525,everything i wanted,everything i wanted,0.225,245426.0
R1B26,2626,Señorita,Shawn Mendes (Deluxe),0.548,190800.0
R1B27,2525,bad guy,WHEN WE ALL FALL ASLEEP- WHERE DO WE GO?,0.425,194088.0
R1B28,2828,WAP ,WAP ,0.454,187541.0
R1B29,2929,Sunday Best,Where the Light Is,0.525,158571.0
R1B30,3030,Godzilla (feat. Juice WRLD),Music To Be Murdered By,0.745,210800.0
R1B31,3131,Yummy,Changes,0.506,208520.0
R1B32,505,Break My Heart,Future Nostalgia,0.729,221820.0
R1B33,3333,Dynamite,Dynamite (DayTime Version),0.765,199054.0
R1B34,3434,Supalonely,Hey u x,0.631,223488.0
R1B35,3535,ily (i love you baby) (feat. Emilee),ily (i love you baby) ,0.774,176547.0
R1B36,3636,Rain On Me ,Chromatica,0.855,182200.0
R1B37,3737,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,0.427,175721.0
R1B38,3838,Sunflower - Spider-Man,Hollywood's Bleeding,0.522,157560.0
R1B39,3939,Hawai,PAPI JUANCHO,0.727,199112.0
R1B40,4040,Ride It,Ride It,0.751,157606.0
R1B41,4141,goosebumps,Birds In The Trap Sing McKnight,0.728,243837.0
R1B42,4242,RITMO ,Translation,0.704,214935.0
R1B43,4343,THE SCOTTS,THE SCOTTS,0.537,165978.0
R1B44,4444,Safaera,YHLQMDLG,0.829,295177.0
R1B45,2525,lovely,lovely,0.296,200186.0
R1B46,4646,Lucid Dreams,Goodbye vs Good Riddance,0.566,239836.0
R1B47,4747,Stuck with U ,Stuck with U,0.45,228482.0
R1B48,4848,If the World Was Ending - feat. Julia Michaels,If the World Was Ending,0.473,208687.0
R1B49,505,Physical,Future Nostalgia,0.844,193829.0
R1B50,5050,SICKO MODE,ASTROWORLD,0.73,312820.0
