song_id,genreid
R1B01,119
R1B01,102
R1B02,103
R1B03,105
R1B03,106
R1B04,107
R1B05,109
R1B06,105
R1B07,110
R1B02,104
R1B05,106
R1B04,108
R1B08,105
R1B08,106
R1B09,119
R1B09,105
R1B09,103
R1B10,103
R1B10,104
R1B11,110
R1B12,106
R1B12,105
R1B13,110
R1B13,116
R1B14,105
R1B14,106
R1B15,110
R1B16,105
R1B16,106
R1B17,103
R1B17,104
R1B18,119
R1B18,102
R1B19,110
R1B20,105
R1B20,106
R1B21,105
R1B21,106
R1B22,110
R1B23,107
R1B23,108
R1B24,110
R1B24,106
R1B25,110
R1B26,110
R1B27,111
R1B28,106
R1B28,105
R1B29,111
R1B30,105
R1B30,106
R1B31,110
R1B32,112
R1B32,114
R1B33,113
R1B34,103
R1B34,104
R1B35,107
R1B35,108
R1B36,110
R1B37,106
R1B37,105
R1B38,116
R1B38,105
R1B38,119
R1B39,110
R1B40,107
R1B40,108
R1B41,105
R1B41,106
R1B42,110
R1B43,105
R1B43,106
R1B44,103
R1B44,117
R1B45,118
R1B45,110
R1B46,110
R1B47,110
R1B48,110
R1B49,107
R1B49,108
R1B50,106
R1B50,105
